558,28000000,21435321,Twentieth Century Fox
559,,23859382,ABC Motion Pictures
560,,11708269,Orion Pictures
561,15000000,6650206,Warner Bros.
562,9500000,16595791,Orion Pictures
563,,4463841,Paramount Pictures
564,,15101131,TriStar Pictures
565,13000000,6551987,Columbia Pictures
566,,11302884,Lorimar Film Entertainment
567,13000000,25068724,Bavaria Film
568,,7610785,Golan-Globus Productions
569,,2886225,Aries Cinematográfica Argentina
570,4600000,13102025,Capricorn
571,8000000,6250994,Paramount Pictures
572,,,Racing Pictures
573,9000000,27774237,United Artists
574,,,Georgian-Film
575,18000000,11489982,Universal Pictures
576,,150463,UAA Films
577,6000000,21821347,Columbia Pictures
578,,1057368,Lake (Comfort and Joy)
579,,5410972,TriStar Pictures
580,,17513452,Golden Harvest Company
581,6000000,12414210,Hemdale
582,25000000,38348988,Warner Bros.
583,,2556800,Conacite Uno
584,,7343032,Universal Pictures
585,10000000,3854833,HBO Pictures
586,,7828841,Bavaria Film
587,3000000,727639,Fox Run Productions Inc.
588,,2732684,Spectrum Cinema Productions
589,,8793152,Baltic Industrial Finance
590,9000000,10435015,Don Simpson/Jerry Bruckheimer Films
591,350000,3677209,Anarchist's Convention Films
592,,4994094,Delphi II Productions
593,8000000,10600497,Orion Pictures
594,18000000,19265302,Cinema Group Ventures
595,15100000,26080861,BBE
596,12000000,26186631,Hawn / Sylbert Movie Company
597,,3739406,The Cannon Group
598,,5021751,CBS Theatrical Films
599,,5718573,Universal Pictures
600,700000,2490233,Tartan Productions
601,,4561346,The Cannon Group
602,,15726,Les Films du Losange
603,12000000,19928200,Twentieth Century Fox
604,10000000,2773433,ABC Motion Pictures
605,11000000,4385312,Edgar J. Scherick Associates
606,,1493782,United Artists
607,,9640000,Far West
608,,3772785,Orion Pictures
609,,2075282,The Ladd Company
610,9000000,1393501,MPL Communications
611,,865915,TriStar Pictures
612,7000000,1467396,CBS Theatrical Films
613,,1009700,Merchant Ivory Productions
614,,1689501,New World Pictures
615,,1142944,Cinema Group Ventures
616,,7889694,Metro-Goldwyn-Mayer (MGM)
617,,4239154,United Artists
618,12000000,129268,Universal Pictures
619,,,Filmtre
620,,1525532,ACCENT Films
621,6300000,1059966,Skyewiay
622,,1820049,Twentieth Century Fox
623,,2527088,HandMade Films
624,,526805,Angeles Cinema Investors
625,,21538850,Warner Bros.
626,,162364,International Cinema Corporation (ICC)
627,,1839623,Producers Sales Organization (PSO)
628,,148750,Jethro Films Production
629,,200498,Archerwest
630,,2411143,Films A2
631,,1945658,David Foster Productions
632,,343890,CBS Theatrical Films
633,,,Delphi II Productions
634,221000,2687148,
635,,21058033,Marimark Productions
636,,837914,City Films
637,,,Filmtrex
638,,,Hungarofilm
639,,2729,Enigma Productions
640,1000000,95000,Almost You
641,,,Century Video Corporation
642,,,Delphi II Productions
643,,127426,Gaumont International
644,7500000,38934048,Universal Pictures
